name,checked_synonym,accepted_name,author
Allium albopilosum C.H. Wright AMARYLLIDACEAE,Allium albopilosum,Allium cristophii subsp. cristophii,
Allium anceps Kell.v,Allium anceps,Allium anceps,Kellogg
Allium cepa L. var. viviparum,Allium cepa var. viviparum,Allium cepa,L.
Allium fimbriatum Wats. var. diabloensis Ownby&Aase,Allium,Allium,L.
Allium flavenscens Bess.,Allium flavescens,Allium flavescens,Besser
Allium giganteum Rgl.,Allium giganteum,Allium giganteum,Regel
Allium howellii var. clokeyi,Allium howellii var. clokeyi,Allium howellii var. clokeyi,Ownbey & Aase ex Traub
Allium scordoprasum L.,Allium scorodoprasum,Allium scorodoprasum,L.
Allium triquetrum L.,Allium triquetrum,Allium triquetrum,L.
Allium ursinum L.,Allium ursinum,Allium ursinum,L.
Alliaria petiolata (Bieb.) Cavara & Grande,Alliaria petiolata,Alliaria petiolata,(M.Bieb.) Cavara & Grande
Alnus hirsuta Trucz. var. sibirica C.K. Schn.,Alnus hirsuta var. sibirica,Alnus hirsuta,(Spach) Rupr.
Alnus (rhombifolia Nutt. or oregana Nutt.?),Alnus,Alnus,Mill.
Álnus rugosa (DuRoi)Sprenge] var. americana (Regel) Fernald,Alnus,Alnus,Mill.
Alocasia cucullata (Lour. ) Schott.,Alocasia cucullata,Alocasia cucullata,(Lour.) G.Don
Alocasia longaloba  XA. lowii,Alocasia longiloba,Alocasia longiloba,Miq.
A1oe acutissima var. antanimorensis Reynolds,Aloe,Aloe,L.
Aloe affinis Berger,Aloe affinis,Aloe affinis,A.Berger
Aloe antandroy Perrier,Aloe antandroi,Aloe antandroi,(Decary) H.Perrier
Aloe Bainsii Th. Dyer,Aloe,Aloe,L.
Aloe ballyi Reyn.,Aloe ballyi,Aloe ballyi,Reynolds
Aloe beguinii Hort. Name not valid,Aloe × beguinii,× Aristeria beguinii,(Radl) M.H.J.van der Meer
Aloe bulbillifera H. Perr.,Aloe bulbillifera,Aloe bulbillifera,H.Perrier
Aloe chortolirioides Berg.,Aloe chortolirioides,Aloe chortolirioides,A.Berger
Áloe cremnophila Lavranos,Aloe,Aloe,L.
Aloe decurva Reynolds,Aloe decurva,Aloe decurva,Reynolds
Aloe duckeri Christian Christian,Aloe duckeri,Aloe duckeri,Christian
Aloe ecklonis Salm-Dyck,Aloe ecklonis,Aloe ecklonis,Salm-Dyck
"Aloe forbesii, Balf. fil.",Aloe forbesii,Aloe forbesii,Balf.f.
Aloe Fulleri Lavranos,Aloe,Aloe,L.
Aloe gerstneri Reynolds,Aloe gerstneri,Aloe gerstneri,Reynolds
Aloe gillilandi Reynolds,Aloe gillilandii,Aloidendron sabaeum,(Schweinf.) Boatwr. & J.C.Manning
Aloe helenae P. Danguy,Aloe helenae,Aloe helenae,Danguy
Aloe kilifiensis Christ.,Aloe kilifiensis,Aloe kilifiensis,Christian
Aloe Krapohliana Marloth,Aloe,Aloe,L.
"Aloe linearifolia Berger,",Aloe linearifolia,Aloe linearifolia,A.Berger
Aloe Marlothii Berg.,Aloe,Aloe,L.
Aloe mzimbaria Christian,Aloe mzimbana,Aloe mzimbana,I.Verd. & Christian
Aloe otallensis Bak.,Aloe otallensis,Aloe otallensis,Baker
Aloe percrassa Tod.,Aloe percrassa,Aloe percrassa,Tod.
Aloe richardsiae Reynolds,Aloe richardsiae,Aloe richardsiae,Reynolds
Aloe ruspoliana Bak.,Aloe ruspoliana,Aloe ruspoliana,Baker
Aloe scobinifolia Reynolds & Bally,Aloe scobinifolia,Aloe scobinifolia,Reynolds & P.R.O.Bally
Aloe sessiliflora Pole Evans,Aloe sessiliflora,Aloe spicata,L.f.
Aloe sessilifiora Pole Evans,Aloe sessiliflora,Aloe spicata,L.f.
Aloe Thraskii Bak.,Aloe,Aloe,L.
Aloe verdoorniae Reyn. davyana-Schen1,Aloe verdoorniae,Aloe verdoorniae,Reynolds
Aloe versicolor Guill.,Aloe versicolor,Aloe versicolor,Guillaumin
Aloe volkensii Engl.,Aloe volkensii,Aloe volkensii,Engl.
Aloe vossii  Reynolds,Aloe vossii,Aloe vossii,Reynolds
Aloe wickensii var. lutea Reynolds,Aloe wickensii var. lutea,Aloe cryptopoda,Baker
Aloinopsis hilmari (L.Bol. ) L. Bol.,Aloinopsis hilmarii,Deilanthe hilmarii,(L.Bolus) H.E.K.Hartmann
Aloinopsis Schooneesii L.Bol.,Aloinopsis,Aloinopsis,Schwantes
Aloinopsis (Nananthus) Schooneesii L.Bol.,Aloinopsis,Aloinopsis,Schwantes
Aloinopsis (Nananthus) schooneesii L. Bolus,Aloinopsis,Aloinopsis,Schwantes
Aloinopsis setifera (L. Bol. ). Bol.,Aloinopsis setifera,Aloinopsis luckhoffii,(L.Bolus) L.Bolus
Aloinopsis thudichumii L.Bol.,Aloinopsis thudichumii,Deilanthe thudichumii,(L.Bolus) S.A.Hammer
Alonsoa acutifolia Ruiz & Pav.,Alonsoa acutifolia,Alonsoa acutifolia,Ruiz & Pav.
Alophia pulchella (Sweet O. Ktze.,Alophia pulchella,Herbertia pulchella,Sweet
Alpinia malaccensis Rosc.,Alpinia malaccensis,Alpinia malaccensis,(Burm.f.) Roscoe
Alpinia officinarum Hance,Alpinia officinarum,Alpinia officinarum,Hance
Alstonia scholaris R. Br.,Alstonia scholaris,Alstonia scholaris,(L.) R.Br.
Alstroemeria nivalis Meyen,Alstroemeria nivalis,Alstroemeria pallida,Graham
Alstroemeria cf. pallida Graham,Alstroemeria,Alstroemeria,L.
Alstroemeria recumbens Herb.,Alstroemeria recumbens,Alstroemeria recumbens,Herb.
Alvarodoa amorphoides Liebm.,Alvaradoa amorphoides,Alvaradoa amorphoides,Liebm.
